subject_id,epoch_ix,condition,condition_label,repeat,jar,jar_group,jar_numeric
P017,0,893,High/893,1,3.0,Vua_phai,1
P017,1,893,High/893,2,3.0,Vua_phai,1
P017,2,893,High/893,3,3.0,Vua_phai,1
P017,3,893,High/893,4,3.0,Vua_phai,1
P017,4,893,High/893,5,3.0,Vua_phai,1
P017,5,605,Water/605,1,1.0,Khong_du,0
P017,6,605,Water/605,2,1.0,Khong_du,0
P017,7,605,Water/605,3,1.0,Khong_du,0
P017,8,605,Water/605,4,1.0,Khong_du,0
P017,9,605,Water/605,5,1.0,Khong_du,0
P017,10,762,MedHigh/762,1,2.0,Khong_du,0
P017,11,762,MedHigh/762,2,2.0,Khong_du,0
P017,12,762,MedHigh/762,3,2.0,Khong_du,0
P017,13,762,MedHigh/762,4,2.0,Khong_du,0
P017,14,762,MedHigh/762,5,2.0,Khong_du,0
P017,15,258,Low/258,1,1.0,Khong_du,0
P017,16,258,Low/258,2,1.0,Khong_du,0
P017,17,258,Low/258,3,1.0,Khong_du,0
P017,18,258,Low/258,4,1.0,Khong_du,0
P017,19,258,Low/258,5,1.0,Khong_du,0
P017,20,189,Medium/189,1,2.0,Khong_du,0
P017,21,189,Medium/189,2,2.0,Khong_du,0
P017,22,189,Medium/189,3,2.0,Khong_du,0
P017,23,189,Medium/189,4,2.0,Khong_du,0
P017,24,189,Medium/189,5,2.0,Khong_du,0
P017,25,453,MedLow/453,1,1.0,Khong_du,0
P017,26,453,MedLow/453,2,1.0,Khong_du,0
P017,27,453,MedLow/453,3,1.0,Khong_du,0
P017,28,453,MedLow/453,4,1.0,Khong_du,0
P017,29,453,MedLow/453,5,1.0,Khong_du,0
